13,1,12,hung31017 (亞拉陽),[問卦] 碧潭這邊突然一聲爆炸聲,Sun May 23 01:43:51 2021
6,8,-2,gracew0709 (Selective mutism),[問卦] 阿辰師的油封鴨腿三大疑問,Sun May 23 03:13:05 2021
10,22,-12,viclin1982 (不能鬆懈啊),Re,Sun May 23 01:47:55 2021
43,8,35,bezbol (o.o),[問卦] 為何啟動三四級不連帶紓困政策？,Sun May 23 08:00:47 2021
18,5,13,gg0815 (O0O0O0O0O0O0O0),[問卦] 蘋果指紋辨識會回歸的八卦,Sun May 23 02:47:51 2021
104,61,43,longyin (龍吟很難嗎？為什麼),Re,Sun May 23 05:49:40 2021
5,0,5,plutox (網路上的芳鄰),[問卦] 會給光頭的理髮師剪頭髮嗎？,Sun May 23 07:09:49 2021
550,87,463,kuku321 (halipapon),[問卦] 就算校正回歸有理 CDC這禮拜作法合邏輯?,Sun May 23 04:39:29 2021
22,5,17,WaWa3 (寂寞的麻糬),[問卦] 我這輩子還有機會和台女做愛嗎？,Sun May 23 07:56:31 2021
9,1,8,haijin (),[新聞]    阿根廷再封城9天 總統宣布嚴格控管政策,Sun May 23 07:49:21 2021
10,1,9,taiwannext (2016綠營重新執政 ),[問卦] 八卦板上不信美國會給台灣武肺炎疫苗？,Sun May 23 07:09:13 2021
11,2,9,wahaha23 (請勿拍打餵食),[爆卦] 20-21西班牙甲級聯賽冠軍,Sun May 23 01:53:15 2021
4,8,-4,kkk264411 (EL),[問卦] 請問被辱罵可以用準備收傳票嚇人嗎？,Sun May 23 03:52:08 2021
7,0,7,iecju520 (哎依喜德魯),[問卦] 3+11的真相背後的真相,Sun May 23 05:46:20 2021
3,0,3,x30020357 (JIMBO),[問卦] 為什麼今年這波都沒有人要補助,Sun May 23 08:34:19 2021
47,5,42,Birthday5566 (生日5566),[問卦] 好騙的人有什麼特徵？,Sun May 23 08:08:14 2021
7,7,0,taker627 (你馬英九嗎?),[問卦]  人一綠就腦殘 誰贊成誰反對,Sun May 23 08:19:36 2021
0,0,0,hrma (資深象迷),[問卦] Yaneer Bar-Yam是甚麼咖?很有名嗎???,Sun May 23 06:47:43 2021
11,3,8,saniblue (sanity),[問卦] 如果能讓疫情戰犯罪有應得，你會怎麼做？,Sun May 23 03:43:42 2021
0,0,0,Townshend (Pete),[問卦] 參加早上記者會的記者在想什麼?,Sun May 23 10:07:12 2021
4,0,4,devidevi (凱特),Re,Sun May 23 08:47:48 2021
10,9,1,IamCuteGirl (CuteGirl5566),[問卦] 中國死了一隻土狗怎全國奔喪？,Sun May 23 01:53:10 2021
1,1,0,Icestorm (小朋友),[新聞] 疫情不敢去傳統市場 經部「買菜網」全台2,Sun May 23 01:48:19 2021
20,1,19,LineageM (天堂M),[問卦] 肉肉的 豐滿的 差別？,Sun May 23 01:41:05 2021
5,0,5,roygg (roygg),Re,Sun May 23 02:04:46 2021
79,10,69,KTR5566 (KTR),[問卦] 為什麼有辦法校正回歸前一天的資料？,Sun May 23 09:14:04 2021
0,1,-1,freeclouds (創造自己新的人生),Re,Sun May 23 08:57:31 2021
5,0,5,DragonQuest (尚未認證通過),Re,Sun May 23 04:02:15 2021
4,3,1,newlly (自古多情空餘恨),Re,Sun May 23 07:58:13 2021
1,0,1,wakaura (wakaura),[問卦] 過去一週是肥宅洗手頻率最高的嗎?,Sun May 23 09:41:42 2021
4,2,2,huan0 (A5688),[問卦] 取消每天開記者會或換時段是否更好？,Sun May 23 09:27:19 2021
5,0,5,keyesleo (以前曾經很帥),[問卦] 想問 目前國產疫苗，有哪些檯面上的政治人物是,Sun May 23 08:16:18 2021
2,0,2,sweetmiki (米奇Tama子),[問卦] 現在可以光明正大去旅館談事情了吧？,Sun May 23 01:40:26 2021
